# real imag
4.689616004270218826e-18 0.000000000000000000e+00
2.543651912247686182e-18 0.000000000000000000e+00
6.898121526755640292e-19 0.000000000000000000e+00
-9.743608725190631460e-04 0.000000000000000000e+00
-5.407148337125345786e-19 0.000000000000000000e+00
9.984514723379188036e-04 0.000000000000000000e+00
-9.743608725190701933e-04 0.000000000000000000e+00
6.035127538500549086e-18 0.000000000000000000e+00
-2.818841909254744361e-17 0.000000000000000000e+00
-2.788459212074596096e-18 0.000000000000000000e+00
5.992537888415431037e-18 0.000000000000000000e+00
-2.287563795461456199e-18 0.000000000000000000e+00
7.189955356464099385e-18 0.000000000000000000e+00
-2.224734310492855612e-18 0.000000000000000000e+00
-2.503988170125386157e-20 0.000000000000000000e+00
-2.227645980626146917e-20 0.000000000000000000e+00
1.282325365682142199e-18 0.000000000000000000e+00
-3.020154289906185107e-18 0.000000000000000000e+00
-1.955931169242095744e-18 0.000000000000000000e+00
2.510088993037749202e-18 0.000000000000000000e+00
-2.863192902810890831e-19 0.000000000000000000e+00
2.852791872523728898e-18 0.000000000000000000e+00
-1.928361295865376560e-18 0.000000000000000000e+00
-1.406270569119953551e-18 0.000000000000000000e+00
2.283621107251412731e-19 0.000000000000000000e+00
3.092574579162305992e-18 0.000000000000000000e+00
-1.842794705188699070e-18 0.000000000000000000e+00
3.465569262941459463e-18 0.000000000000000000e+00
-3.333799035646271819e-19 0.000000000000000000e+00
1.404201468877510346e-20 0.000000000000000000e+00
4.308814408272747684e-19 0.000000000000000000e+00
-1.104520760175347775e-18 0.000000000000000000e+00
-1.410618428376603673e-18 0.000000000000000000e+00
1.367059810673557341e-18 0.000000000000000000e+00
1.428216928398523228e-18 0.000000000000000000e+00
1.089645223062564469e-19 0.000000000000000000e+00
-3.492168602306997419e-19 0.000000000000000000e+00
-3.469303917657061358e-19 0.000000000000000000e+00
-1.621719560208426468e-19 0.000000000000000000e+00
1.740264788872038633e-19 0.000000000000000000e+00
1.820342101014810419e-18 0.000000000000000000e+00
-1.395042351073330678e-18 0.000000000000000000e+00
-8.941772615908279980e-19 0.000000000000000000e+00
2.479735554858032043e-19 0.000000000000000000e+00
-1.602537515268881158e-18 0.000000000000000000e+00
9.389086664972957724e-19 0.000000000000000000e+00
1.462885336552623299e-18 0.000000000000000000e+00
-7.498757245839634434e-19 0.000000000000000000e+00
-2.049142026537671477e-18 0.000000000000000000e+00
1.821452907184614340e-18 0.000000000000000000e+00
1.253500639944211896e-19 0.000000000000000000e+00
